test_id,R_order,R_prompt,R_repeat,R_model,R_persona,SURS,flag
COPY-05,0.974,n/a,0.986,0.942,0.782,0.921,High
UI-07,0.994,n/a,0.972,0.939,0.652,0.889,High
COPY-09,0.975,n/a,0.967,0.811,0.477,0.807,High
UI-09,1.0,0.141,0.989,0.983,0.919,0.807,High
COPY-06,0.975,n/a,0.964,0.839,0.421,0.8,Moderate
COPY-04-V3,0.989,0.0,0.99,0.992,0.928,0.78,Moderate
UI-06,0.964,n/a,0.961,0.753,0.438,0.779,Moderate
REC-03-V2,0.97,0.419,0.964,0.922,0.603,0.776,Moderate
COPY-04,0.943,0.0,0.986,0.983,0.857,0.754,Moderate
REC-04,0.865,n/a,0.962,0.883,0.303,0.753,Moderate
REC-06-V3,0.939,0.279,0.932,0.864,0.734,0.75,Moderate
REC-11,0.809,n/a,0.938,0.794,0.429,0.742,Moderate
COPY-08,0.717,n/a,0.932,0.858,0.43,0.734,Moderate
COPY-04-V2,0.997,0.0,0.971,0.917,0.781,0.733,Moderate
REC-07,0.989,n/a,0.919,0.783,0.241,0.733,Moderate
REC-08,0.844,n/a,0.903,0.756,0.384,0.722,Moderate
REC-03,0.92,0.419,0.937,0.814,0.507,0.719,Moderate
UI-10,0.781,n/a,0.932,0.858,0.268,0.71,Moderate
REC-01,0.763,n/a,0.95,0.836,0.271,0.705,Moderate
UI-12,0.854,n/a,0.936,0.797,0.219,0.702,Moderate
UI-03,0.861,n/a,0.908,0.794,0.229,0.698,Moderate
UI-11,0.821,n/a,0.919,0.778,0.246,0.691,Moderate
REC-02,0.825,n/a,0.932,0.825,0.178,0.69,Moderate
COPY-10,0.659,n/a,0.914,0.842,0.325,0.685,Moderate
UI-01-V2,0.898,0.202,0.917,0.783,0.524,0.665,Moderate
REC-06-V2,0.861,0.279,0.944,0.717,0.477,0.655,Moderate
REC-06,0.695,0.279,0.853,0.761,0.554,0.628,Moderate
REC-03-V3,0.697,0.419,0.906,0.719,0.363,0.621,Moderate
UI-09-V3,0.76,0.141,0.869,0.725,0.446,0.588,Low
COPY-11,0.415,n/a,0.858,0.689,0.36,0.58,Low
UI-01,0.607,0.202,0.811,0.631,0.575,0.565,Low
UI-01-V3,0.424,0.202,0.867,0.581,0.472,0.509,Low
UI-09-V2,0.302,0.141,0.861,0.664,0.539,0.501,Low
