domain,model,A,B,total,A_pct
Copywriting,claude-3.5-sonnet,545,1500,2045,26.65036674816626
Copywriting,deepseek-v4-flash,561,1437,1998,28.07807807807808
Copywriting,gpt-4o,596,1442,2038,29.244357212953876
Copywriting,llama-3.3-70b,560,1483,2043,27.410670582476747
Recommendation,claude-3.5-sonnet,1920,1089,3009,63.808574277168496
Recommendation,deepseek-v4-flash,1508,1391,2899,52.01793721973094
Recommendation,gpt-4o,1322,1694,3016,43.832891246684355
Recommendation,llama-3.3-70b,1368,1654,3022,45.268034414295165
UI/UX,claude-3.5-sonnet,2106,916,3022,69.68894771674388
UI/UX,deepseek-v4-flash,2088,804,2892,72.19917012448133
UI/UX,gpt-4o,2318,709,3027,76.57746944169145
UI/UX,llama-3.3-70b,2048,969,3017,67.88200198873052
