persona_type,model,A,B,total,A_pct
demographic,claude-3.5-sonnet,1615,1078,2693,59.97029335313776
demographic,deepseek-v4-flash,1418,1179,2597,54.60146322680015
demographic,gpt-4o,1535,1164,2699,56.87291589477584
demographic,llama-3.3-70b,1541,1153,2694,57.20118782479584
biographical,claude-3.5-sonnet,1456,1234,2690,54.12639405204461
biographical,deepseek-v4-flash,1356,1244,2600,52.15384615384615
biographical,gpt-4o,1313,1379,2692,48.7741456166419
biographical,llama-3.3-70b,1166,1528,2694,43.28136599851522
interview,claude-3.5-sonnet,1500,1193,2693,55.69996286669142
interview,deepseek-v4-flash,1383,1209,2592,53.356481481481474
interview,gpt-4o,1388,1302,2690,51.59851301115241
interview,llama-3.3-70b,1269,1425,2694,47.10467706013363
